Failed to Get PoE League List response,获取联盟列表回应失败


Could not decode static trade data,无法解码静态交易数据


Failed to process CX response,处理CX响应失败

Not authenticated,未认证
Authenticated,已认证


The Trader feature supports two modes of operation depending on the authorization availability.,交易器功能根据授权可用性支持两种操作模式。
You can click this button to authorize PoB by logging in.,你可以点击此按钮登录以授权 PoB。
Session Mode,^2会话模式^7
- Requires authorization on pathofexile.com.,- 需要在pathofexile.com上进行授权。
"- You can search, compare, and quickly import items without leaving Path of Building.",- 可以在不离开POB的情况下搜索、比较并快速导入物品。
- You can select an item and search it directly.,- 你可以直接选择物品并进行搜索。
- You can generate and perform searches for the private leagues you are participating.,- 可以为参与的私人联盟生成并执行搜索。

No Session Mode,^xFF9922非会话模式^7
- Doesn't require authorization.,- 无需授权。
- You cannot search and compare items in Path of Building.,- 无法在POB中搜索和比较物品。  
- You can generate weighted search URLs but have to visit the trade site and manually import items.,- 可生成加权搜索链接，但需访问交易网站并手动导入物品。
- You can only generate weighted searches for public leagues. (Generated searches can be modified,- 仅可为公开联盟生成加权搜索(生成的搜索可在交易网站上修改，
on trade site to work on other leagues and realms),以适用于其他联赛和区域)

"Instant buyout",立即购买
"Instant buyout and in person",立即购买和面对面交易
Instant Buyout & In Person,立即购买和面对面交易
"In person (online in league)",面对面交易(当前联盟在线)
"In person (online)",面对面交易(在线)
"Any (includes offline)",任意(包括不在线)

Fetch Pages:,获取页面:
Specify maximum number of item pages to retrieve per search from PoE Trade.,指定每次从PoE Trade搜索时最多获取的项目页数。
Each page fetches up to 10 items.,每页最多可获取10个项目。
Acceptable Range is: 1 to 10,允许范围：1至10

Adjust search weights,更改搜索权重
Sorts the weights by the stats selected multiplied by a value,按选定的数值乘以一个值对权重进行排序
Currently sorting by:,当前排序依据:


(Highest) Stat Value,(最高)统计值
Stat Value / Price,统计值 / 价格
(Lowest) Price,(最低)价格
(Highest) Weighted Sum,(最高)加权总和


Weighted Sum searches will always sort using descending weighted sum,加权求和搜索将始终按降序排列加权求和值
Additional post filtering options can be done these include:,可添加的额外筛选选项包括：
Highest Stat Value - Sort from highest to lowest Stat Value change of equipping item,最高统计值 — 按装备物品的统计值变化从高到低排序
Highest Stat Value / Price - Sorts from highest to lowest by estimated Stat Value per currency,最高统计值值 / 价格 — 按同等通货可交易的估算统计值从高到低排序
Lowest Price - Sorts from lowest to highest price of retrieved items,最低价格 — 按获取物品的价格从低到高排序
Highest Weight - Displays the order retrieved from trade,最高权重 — 显示交易中获取的物品顺序


Sort By:,排序依据:


Realm:,平台:

Other trades:,其他交易:


Get Currency Conversion Rates,获取通货兑换比率
Trader,交易器



No Matching Results,无匹配结果

Currency rates unavailable. Falling back to Stat Value sort.,通货比例不可用。正在切换为统计值排序。

Find best,寻找最佳
trade/search,交易/搜索
Searching...,搜索中……
Price Item,给物品定价
Creates a weighted search to find the highest Stat Value items for this slot.,创建一个加权搜索以查找此槽的最高统计值项。
"Note that even if you are authenticated, you can click this button again to show the search link.",请注意，即使你已登录，仍可再次点击此按钮以显示搜索链接。
"If you have additional requirements that the trade tool doesn't cover (e.g. Adorned Magic jewels),",如果你有贸易工具未涵盖的其他需求（例如镶嵌魔法宝石），
"you can add them, copy the link here, and press ""Price Item"" to evaluate the items.",可将其添加，复制此处的链接，然后点击“给物品定价”来评估这些物品。

Paste trade URL here...,粘贴交易URL至此……
Control + click to open in web-browser,Control + click以在浏览器中打开
You must log in to use the search feature,你必须登录以使用搜索功能
Enter a valid trade URL,输入一个有效的URL
Requires an active Jewel Socket,需要一个激活的珠宝插槽
